case_id,task,task_id,strength,friction,misalignment,lf_success,hf_success,lf_placement,hf_placement,lf_peak_force,hf_peak_force,lf_wall_time,hf_wall_time,force_error,adequate
19,hdd,0,67.14375293468237,0.4776738070043688,0.0038102791980390406,1,1,1,1,67.55920482921871,0.0,0.3420091000152752,0.3797493999591097,6.755920482921871,0
20,hdd,0,38.110532346069846,0.36723410885233276,0.006624927037160502,1,1,1,1,38.12474017659579,0.0,0.34628539998084307,0.3271587999770418,3.8124740176595795,0
21,hdd,0,107.07833371419467,0.600185657253332,0.006865237882649119,1,1,1,1,107.49464647381619,0.0,0.3317364000249654,0.33579750009812415,10.749464647381618,0
22,hdd,0,107.48026427975152,0.6476241164378539,0.007439178191078189,1,1,1,1,107.81692714208005,0.0,0.3369414999615401,0.3673393999924883,10.781692714208004,0
23,hdd,0,111.18776087025589,0.3071659690967545,0.0015357725695006764,1,1,1,1,111.65760949084081,0.0,0.3249640000285581,0.3356685000471771,11.165760949084081,0
24,hdd,0,48.38219897557728,0.5731208078663143,0.004825111926888292,1,1,1,1,48.724548050022285,0.0,0.3284746001008898,0.3281977999722585,4.872454805002229,0
25,hdd,0,75.57287203599266,0.4469816145652111,0.0021156822262739495,1,1,1,1,76.15201999852074,0.0,0.3552259000716731,0.3816099000396207,7.615201999852074,0
26,hdd,0,116.48098928255291,0.5135042375120851,0.005582284972257937,1,1,1,1,117.04830787131102,0.0,0.46203120006248355,0.33903029991779476,11.704830787131103,0
27,hdd,0,61.19787104618665,0.427100619102446,0.004902214055469128,1,1,1,1,61.27536630712149,0.0,0.33185600000433624,0.3362271999940276,6.127536630712148,0
28,hdd,0,26.99242930895538,0.19078988832485685,0.005847403750650761,1,1,1,1,27.19719615603551,0.0,0.3715088999597356,0.34412559994962066,2.719719615603551,0
29,hdd,0,80.84604092324953,0.715623699182255,0.004679972139330577,1,1,1,1,80.926845856597,0.0,0.3616381000028923,0.32704759994521737,8.0926845856597,0
30,hdd,0,63.28256263242894,0.6093752524581519,0.006414769165984693,1,1,1,1,63.66215663478969,0.0,0.3348017999669537,0.32904049998614937,6.366215663478969,0
31,hdd,0,81.20632625796785,0.5636298051253217,9.859130850162973e-06,1,1,1,1,81.30244862546321,0.0,0.34651380009017885,0.42360560002271086,8.130244862546322,0
32,hdd,0,80.21272912981553,0.13246215018826243,0.006050186509276787,1,1,1,1,80.33837943142949,0.0,0.357389000011608,0.3254931999836117,8.033837943142949,0
33,hdd,0,70.67936744515015,0.3195466450550156,0.00494134114309838,1,1,1,1,71.04305905032238,0.0,0.3275245000841096,0.35825279995333403,7.104305905032239,0
34,hdd,0,28.57804334618016,0.5317385884528553,0.001792566642560912,1,1,1,1,28.679313746782675,0.0,0.33690740005113184,0.331976699992083,2.8679313746782675,0
35,hdd,0,47.42770327028033,0.5166181564949979,0.005992740225017462,1,1,1,1,47.67701593303335,0.0,0.34957900003064424,0.3439386000391096,4.767701593303335,0
36,hdd,0,89.96786967928217,0.40822726107473106,0.002227845965604437,1,1,1,1,90.08432395965728,0.0,0.3446856999071315,0.396721399971284,9.008432395965729,0
37,hdd,0,61.93254554506826,0.7059527678769818,0.0030245541448282163,1,1,1,1,62.35791444812247,0.0,0.3476055000210181,0.33842749998439103,6.235791444812247,0
38,hdd,0,78.60774240568693,0.14000123333711778,0.000433106145871061,1,1,1,1,79.05772802556656,0.0,0.33891439996659756,0.3440353999612853,7.9057728025566565,0
39,hdd,0,30.76017901468302,0.4233251162405248,0.001343271764247935,1,1,1,1,30.80455004220788,0.0,0.3498029999900609,0.34576920000836253,3.080455004220788,0
